mo,version,scenario,n,sl_r2,month,label
2021-04,v3.2.0,STATIC_ALS,30,0.0916126543792411,04,LiDAR full
2021-05,v3.2.0,STATIC_ALS,53,0.892834064196208,05,LiDAR full
2021-06,v3.2.0,STATIC_ALS,53,0.894289329169374,06,LiDAR full
2021-07,v3.2.0,STATIC_ALS,53,0.869581311339378,07,LiDAR full
2021-08,v3.2.0,STATIC_ALS,53,0.905869936089959,08,LiDAR full
2021-09,v3.2.0,STATIC_ALS,53,0.917856677250741,09,LiDAR full
2021-10,v3.2.0,STATIC_ALS,52,0.864521946712445,10,LiDAR full
2021-11,v3.2.0,STATIC_ALS,52,0.375705336422792,11,LiDAR full
2021-04,v3.2.0,STATIC_ALS_DOPT,30,0.277224017776672,04,LiDAR d_opt
2021-05,v3.2.0,STATIC_ALS_DOPT,53,0.393914668221545,05,LiDAR d_opt
2021-06,v3.2.0,STATIC_ALS_DOPT,53,0.643162683840121,06,LiDAR d_opt
2021-07,v3.2.0,STATIC_ALS_DOPT,53,0.507315734229185,07,LiDAR d_opt
2021-08,v3.2.0,STATIC_ALS_DOPT,53,0.612158661877336,08,LiDAR d_opt
2021-09,v3.2.0,STATIC_ALS_DOPT,53,0.720942444992345,09,LiDAR d_opt
2021-10,v3.2.0,STATIC_ALS_DOPT,52,0.65881123562878,10,LiDAR d_opt
2021-11,v3.2.0,STATIC_ALS_DOPT,52,0.0301699118544974,11,LiDAR d_opt
2021-04,v3.2.0,DYN_S2_ATBD_NM,30,0.508220879506336,04,S2 ATBD
2021-05,v3.2.0,DYN_S2_ATBD_NM,53,0.656360647287338,05,S2 ATBD
2021-06,v3.2.0,DYN_S2_ATBD_NM,53,0.683068528836992,06,S2 ATBD
2021-07,v3.2.0,DYN_S2_ATBD_NM,53,0.676197033065269,07,S2 ATBD
2021-08,v3.2.0,DYN_S2_ATBD_NM,53,0.663545763332717,08,S2 ATBD
2021-09,v3.2.0,DYN_S2_ATBD_NM,53,0.667987402554481,09,S2 ATBD
2021-10,v3.2.0,DYN_S2_ATBD_NM,52,0.677020362594807,10,S2 ATBD
2021-11,v3.2.0,DYN_S2_ATBD_NM,52,0.442489653802334,11,S2 ATBD
2021-04,v3.2.0,DYN_S2_OPT_NM,30,0.5281366315345,04,S2 opt
2021-05,v3.2.0,DYN_S2_OPT_NM,53,0.641273255412531,05,S2 opt
2021-06,v3.2.0,DYN_S2_OPT_NM,53,0.692535004131641,06,S2 opt
