version,scenario,label,fam,plateau_R2,april_R2,april_n
v3.2.0,CONST_ALS,LiDAR const,LiDAR,0.888018038758536,0.586970854221688,30
v3.2.3 iter,CONST_ALS,LiDAR const,LiDAR,0.608464256136321,0.602839615689475,30
v3.2.0,DYN_ALS_S2TIMING_NM,S2t.ALS/ATBD,Fusion,0.882142520900514,0.603606860592086,30
v3.2.3 iter,DYN_ALS_S2TIMING_NM,S2t.ALS/ATBD,Fusion,0.619273519331537,0.292528609893681,30
v3.2.0,DYN_ALSoOPT_S2TIMING_NM,S2t.ALS/opt,Fusion,0.870529154775973,0.640308960393992,30
v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,S2t.ALS/opt,Fusion,0.597738212020908,0.345954948218806,30
v3.2.0,DYN_ATBD_rfull_NM,S2 ATBD x->full,S2,0.699298365469319,0.413108202765226,30
v3.2.3 iter,DYN_ATBD_rfull_NM,S2 ATBD x->full,S2,0.72231205786159,0.0429234261090991,30
v3.2.0,DYN_OPT_rdopt_NM,S2 opt x->d_opt,S2,0.619783474441781,0.091954732363984,30
v3.2.3 iter,DYN_OPT_rdopt_NM,S2 opt x->d_opt,S2,0.449528678006551,0.000178350718296239,30
v3.2.0,DYN_RF,S2 RF (dyn),S2,0.880100718462182,0.354318683282766,30
v3.2.3 iter,DYN_RF,S2 RF (dyn),S2,0.63474507660859,0.492357972514425,30
v3.2.0,DYN_S2_ANNUAL,S2 annual (dyn),S2,0.885800301811042,0.753704855634104,30
v3.2.3 iter,DYN_S2_ANNUAL,S2 annual (dyn),S2,0.580399522602225,0.37303230186591,30
v3.2.0,DYN_S2_ATBD_NM,S2 ATBD,S2,0.672699681947365,0.508220879506336,30
v3.2.3 iter,DYN_S2_ATBD_NM,S2 ATBD,S2,0.739915271061612,0.156688387060113,30
v3.2.0,DYN_S2_OPT_NM,S2 opt,S2,0.687110755467967,0.5281366315345,30
v3.2.3 iter,DYN_S2_OPT_NM,S2 opt,S2,0.721492338597121,0.0909693382370593,30
v3.2.0,FUSION_H,Fusion-H (layered),Fusion,0.735843110861532,0.65200531374085,30
v3.2.3 iter,FUSION_H,Fusion-H (layered),Fusion,0.698232970833359,0.375848136227949,30
v3.2.0,NAIVE_S2_FORMSH,S2 naive,S2,0.615216943122698,0.650124810526476,30
v3.2.3 iter,NAIVE_S2_FORMSH,S2 naive,S2,0.776967465477867,0.518219043871883,30
v3.2.0,STATIC_ALS,LiDAR full,LiDAR,0.896899313462363,0.0916126543792411,30
v3.2.3 iter,STATIC_ALS,LiDAR full,LiDAR,0.615992686882731,0.427839212595207,30
v3.2.0,STATIC_ALS_DOPT,LiDAR d_opt,LiDAR,0.620894881234747,0.277224017776672,30
v3.2.3 iter,STATIC_ALS_DOPT,LiDAR d_opt,LiDAR,0.148118773770119,0.488127677061529,30
