metric,tod,period,variable,r_v320,rho_v320,SDrec_v320,bias_v320,rmse_v320,r_v323,rho_v323,SDrec_v323,bias_v323,rmse_v323,will_t,will_p
slope,all,JJAS,slope.all.JJAS,0.956232665974611,0.898080954684728,0.311709651369281,0.0612492559727687,0.140652444898992,0.791551396239717,0.923399451701338,0.309638747525881,0.00629010718487035,0.139355534172562,6.47087142336366,4.03726250443142e-08
offset,all,JJAS,offset.all.JJAS,0.412693569180594,0.380664408966296,1.08219124761166,1.19614425679899,1.25749259322087,0.416578323057723,0.565876471536849,0.366010770556133,1.15499376923129,1.19652067285452,-0.0234076674911009,0.98141825815561
slope,day,JJAS,slope.day.JJAS,0.788532045542531,0.730285437832608,0.291096218351799,0.0364986129044446,0.0695576340376437,0.539585808856809,0.728672794710531,0.318384537755897,0.00893075386845287,0.0657741873492093,3.29924915456133,0.00179141476572923
offset,day,JJAS,offset.day.JJAS,0.936470867831575,0.86631188517981,0.570387260816017,1.69122240281243,1.81397441910866,0.666685948035586,0.909772617319787,0.261572863825937,1.35191916224969,1.74135978153434,6.01949211840228,2.04147873793697e-07
slope,night,JJAS,slope.night.JJAS,0.758345022613634,0.680293501048218,0.525725721317379,-0.0073187904184766,0.0440440476063695,0.733844175279926,0.754797613288179,1.12930002757236,-0.0488189700446929,0.0693996169924866,0.46337068578558,0.645109456562484
offset,night,JJAS,offset.night.JJAS,0.010696333597094,0.34268666344138,0.115239078397419,0.270467053183682,1.04955907106484,0.817371275272049,0.781083696178036,0.337587790386811,0.532102020152358,0.924672871189712,-8.32913855868726,5.1732611249518e-11
DTR,all,JJAS,DTR.all.JJAS,0.953242063142731,0.905982905982906,0.288958248028404,0.0365663923783083,2.07850201197339,0.772879101454296,0.912594742783422,0.260628430897733,-0.697136403339911,2.42464615852505,7.4996419375036,9.95014825776418e-10
equil,all,JJAS,equil.all.JJAS,-0.463769585912485,-0.82406063538139,0.217574326142694,9.18550122209749,33.3617420768024,0.140026187050754,0.0421706176423158,0.0674035593166063,11.8398854755961,30.8520266653839,-2.75702178766272,0.00812177268229025
slope,all,hot10,slope.all.hot10,0.922628132960955,0.862441541686825,0.239210563230624,0.0988394608573926,0.218409387623142,0.732053510002613,0.887195613610708,0.198612051865551,0.0424182290923237,0.218896119740777,6.05742235542105,1.78227041258199e-07
offset,all,hot10,offset.all.hot10,0.265158450568983,0.255603934849218,0.838197602047629,1.65124386731042,1.77142775306694,0.345886749961481,0.52741493307531,0.399733782667596,1.51158683285792,1.60427405346459,-0.559324236799699,0.578437401536368
slope,day,hot10,slope.day.hot10,-0.483556132266319,-0.358974358974359,0.325468745943938,-0.223862963811172,0.324891839933955,0.276574118642832,0.288179325915175,0.354696759346377,-0.304516097839665,0.359174643631901,-3.32582343093768,0.00165742629324807
offset,day,hot10,offset.day.hot10,0.905580790839313,0.838090630543461,0.53996000037282,2.36505866031244,2.53045581140429,0.601887431838185,0.838413159167876,0.296471896629975,1.90969367951614,2.35252214445709,5.27922588238688,2.81484822820135e-06
slope,night,hot10,slope.night.hot10,0.248739694347004,0.235607160135462,0.21136567441604,-0.0135576416318838,0.119858823844215,0.435019779834106,0.373326882760845,0.595463268064895,-0.0462466888995648,0.121514993147725,-2.41270960528654,0.0195434191019738
offset,night,hot10,offset.night.hot10,0.00522380953716349,0.190775681341719,0.114776565936804,-0.293402152563051,1.6742018349553,0.75592310597375,0.597000483792937,0.195853130991744,-0.0775933066817115,1.41378088589738,-6.17624374223884,1.16410926298595e-07
DTR,all,hot10,DTR.all.hot10,0.902544525732769,0.847443960651508,0.282953680660998,0.689051083656628,2.67116429329683,0.672485997861136,0.855910337042412,0.230703339207526,-0.105634866223165,2.95004540069575,6.34037934166128,6.45594223641411e-08
equil,all,hot10,equil.all.hot10,0.319997987046578,-0.414529914529915,0.682364947557154,4.05692318667919,18.0673682673557,-0.044572196823855,0.170053217223029,0.115885855005928,7.29507554521736,19.0167689486542,1.7559295348501,0.0852246017676895
