mon,slope,version,plab,scenario,family,variant
Apr,1.08845380214317,v3.2.0,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
May,1.11973728276702,v3.2.0,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Jun,1.13194947410562,v3.2.0,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Jul,1.13541630904748,v3.2.0,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Aug,1.13737234188094,v3.2.0,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Sep,1.06156445939563,v3.2.0,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Oct,1.01328610539976,v3.2.0,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Apr,1.08845380214317,v3.2.0,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
May,1.11973728276702,v3.2.0,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Jun,1.13194947410562,v3.2.0,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Jul,1.13541630904748,v3.2.0,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Aug,1.13737234188094,v3.2.0,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Sep,1.06156445939563,v3.2.0,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Oct,1.01328610539976,v3.2.0,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Apr,1.07448647452752,v3.2.0,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
May,1.07065801531693,v3.2.0,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jun,1.06352081533448,v3.2.0,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jul,1.0761183257167,v3.2.0,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Aug,1.09603725215862,v3.2.0,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Sep,1.02710189457428,v3.2.0,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Oct,1.00113232421932,v3.2.0,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Apr,1.06733934851861,v3.2.0,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
May,1.07957596432209,v3.2.0,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Jun,1.07477671366715,v3.2.0,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Jul,1.08951222539742,v3.2.0,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Aug,1.11128545638231,v3.2.0,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Sep,1.03886141706163,v3.2.0,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Oct,1.00497261155606,v3.2.0,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Apr,1.07292738745715,v3.2.0,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
May,1.08887030662588,v3.2.0,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jun,1.08557768540744,v3.2.0,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jul,1.10132932307794,v3.2.0,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Aug,1.1051872054025,v3.2.0,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Sep,1.05066726162536,v3.2.0,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Oct,1.00987189391112,v3.2.0,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Apr,1.09109891863748,v3.2.0,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
May,1.11776143133861,v3.2.0,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jun,1.12208766631588,v3.2.0,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jul,1.12736967547137,v3.2.0,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
