P,LAI,fCover,Hmax,LAD,version
P1,0.571,0.235,0.182,0.015,v3.2.0
P2,0.241,0.098,0.071,0.045,v3.2.0
P3,0.172,0.072,0.01,0.09,v3.2.0
P4,0.12,0.009,0.012,0.113,v3.2.0
All,0.496,0.233,0.064,0.074,v3.2.0
P1,0.069,0.033,0.033,0.046,v3.2.3 none
P2,0.326,0.103,0.04,0.326,v3.2.3 none
P3,0.491,0.242,0.02,0.549,v3.2.3 none
P4,0.369,0.039,0.042,0.703,v3.2.3 none
All,0.834,0.503,0.069,0.347,v3.2.3 none
P1,0.049,0.031,0.025,0.046,v3.2.3 iter (realBLH)
P2,0.264,0.09,0.045,0.216,v3.2.3 iter (realBLH)
P3,0.438,0.221,0.019,0.494,v3.2.3 iter (realBLH)
P4,0.39,0.039,0.042,0.797,v3.2.3 iter (realBLH)
All,0.751,0.414,0.07,0.312,v3.2.3 iter (realBLH)
