plab,family,variant,scenario,mon,value,row
P1  (LAI=0.5),LiDAR,full,STATIC_ALS,Jun,0.527927845716476,LAI one-sided (m2/m2)
P1  (LAI=0.5),LiDAR,full,STATIC_ALS,Jul,0.527927845716476,LAI one-sided (m2/m2)
P1  (LAI=0.5),LiDAR,full,STATIC_ALS,Aug,0.527927845716476,LAI one-sided (m2/m2)
P1  (LAI=0.5),LiDAR,full,STATIC_ALS,Sep,0.523278774668093,LAI one-sided (m2/m2)
P1  (LAI=0.5),LiDAR,d_opt,STATIC_ALS_DOPT,Jun,0.527927845716476,LAI one-sided (m2/m2)
P1  (LAI=0.5),LiDAR,d_opt,STATIC_ALS_DOPT,Jul,0.527927845716476,LAI one-sided (m2/m2)
P1  (LAI=0.5),LiDAR,d_opt,STATIC_ALS_DOPT,Aug,0.527927845716476,LAI one-sided (m2/m2)
P1  (LAI=0.5),LiDAR,d_opt,STATIC_ALS_DOPT,Sep,0.523278774668093,LAI one-sided (m2/m2)
P1  (LAI=0.5),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Jun,5.41927117982839,LAI one-sided (m2/m2)
P1  (LAI=0.5),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Jul,5.13798342526456,LAI one-sided (m2/m2)
P1  (LAI=0.5),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Aug,3.81551084595868,LAI one-sided (m2/m2)
P1  (LAI=0.5),Sentinel-2,ATBD,DYN_S2_ATBD_NM,Sep,3.51807530985208,LAI one-sided (m2/m2)
P1  (LAI=0.5),Sentinel-2,opt,DYN_S2_OPT_NM,Jun,4.8562387110455,LAI one-sided (m2/m2)
P1  (LAI=0.5),Sentinel-2,opt,DYN_S2_OPT_NM,Jul,4.60417520705617,LAI one-sided (m2/m2)
P1  (LAI=0.5),Sentinel-2,opt,DYN_S2_OPT_NM,Aug,3.41910025494337,LAI one-sided (m2/m2)
P1  (LAI=0.5),Sentinel-2,opt,DYN_S2_OPT_NM,Sep,3.15256663509836,LAI one-sided (m2/m2)
