plab,date,tmax
P4  (LAI=5.7),2021-06-01,27.567
P4  (LAI=5.7),2021-06-02,19.948
P4  (LAI=5.7),2021-06-03,24.738
P4  (LAI=5.7),2021-06-04,19.092
P4  (LAI=5.7),2021-06-05,20.138
P4  (LAI=5.7),2021-06-06,21.091
P4  (LAI=5.7),2021-06-07,22.621
P4  (LAI=5.7),2021-06-08,24.158
P4  (LAI=5.7),2021-06-09,25.319
P4  (LAI=5.7),2021-06-10,26.292
P4  (LAI=5.7),2021-06-11,25.028
P4  (LAI=5.7),2021-06-12,26.39
P4  (LAI=5.7),2021-06-13,25.513
P4  (LAI=5.7),2021-06-14,27.468
P4  (LAI=5.7),2021-06-15,28.258
P4  (LAI=5.7),2021-06-16,29.452
P4  (LAI=5.7),2021-06-17,22.429
P4  (LAI=5.7),2021-06-18,23.581
P4  (LAI=5.7),2021-06-19,24.641
P4  (LAI=5.7),2021-06-20,22.812
P4  (LAI=5.7),2021-06-21,23.196
P4  (LAI=5.7),2021-06-22,20.615
P4  (LAI=5.7),2021-06-23,16.427
P4  (LAI=5.7),2021-06-24,21.091
P4  (LAI=5.7),2021-06-25,20.519
P4  (LAI=5.7),2021-06-26,21.187
P4  (LAI=5.7),2021-06-27,18.806
P4  (LAI=5.7),2021-06-28,19.758
P4  (LAI=5.7),2021-06-29,18.806
P4  (LAI=5.7),2021-06-30,17.855
P4  (LAI=5.7),2021-07-01,23.292
P4  (LAI=5.7),2021-07-02,24.255
P4  (LAI=5.7),2021-07-03,20.901
P4  (LAI=5.7),2021-07-04,20.71
P4  (LAI=5.7),2021-07-05,20.329
P4  (LAI=5.7),2021-07-06,21.473
P4  (LAI=5.7),2021-07-07,20.043
P4  (LAI=5.7),2021-07-08,20.519
P4  (LAI=5.7),2021-07-09,21.569
P4  (LAI=5.7),2021-07-10,18.806
P4  (LAI=5.7),2021-07-11,21.473
P4  (LAI=5.7),2021-07-12,19.567
P4  (LAI=5.7),2021-07-13,17.284
P4  (LAI=5.7),2021-07-14,20.234
P4  (LAI=5.7),2021-07-15,21.76
P4  (LAI=5.7),2021-07-16,18.901
P4  (LAI=5.7),2021-07-17,22.525
P4  (LAI=5.7),2021-07-18,27.665
P4  (LAI=5.7),2021-07-19,28.456
P4  (LAI=5.7),2021-07-20,27.37
P4  (LAI=5.7),2021-07-21,27.37
P4  (LAI=5.7),2021-07-22,27.862
P4  (LAI=5.7),2021-07-23,28.159
P4  (LAI=5.7),2021-07-24,22.717
P4  (LAI=5.7),2021-07-25,22.238
P4  (LAI=5.7),2021-07-26,23.004
P4  (LAI=5.7),2021-07-27,18.426
P4  (LAI=5.7),2021-07-28,21.378
P4  (LAI=5.7),2021-07-29,22.142
P4  (LAI=5.7),2021-07-30,22.333
P4  (LAI=5.7),2021-07-31,20.805
P4  (LAI=5.7),2021-08-01,21.091
P4  (LAI=5.7),2021-08-02,21.664
P4  (LAI=5.7),2021-08-03,16.999
P4  (LAI=5.7),2021-08-04,17.95
P4  (LAI=5.7),2021-08-05,19.758
P4  (LAI=5.7),2021-08-06,19.853
P4  (LAI=5.7),2021-08-07,21.187
P4  (LAI=5.7),2021-08-08,20.901
P4  (LAI=5.7),2021-08-09,21.187
P4  (LAI=5.7),2021-08-10,25.028
P4  (LAI=5.7),2021-08-11,26.781
P4  (LAI=5.7),2021-08-12,28.456
P4  (LAI=5.7),2021-08-13,28.06
P4  (LAI=5.7),2021-08-14,29.053
P4  (LAI=5.7),2021-08-15,28.754
P4  (LAI=5.7),2021-08-16,21.951
P4  (LAI=5.7),2021-08-17,19.092
P4  (LAI=5.7),2021-08-18,20.901
P4  (LAI=5.7),2021-08-19,18.426
P4  (LAI=5.7),2021-08-20,23.966
P4  (LAI=5.7),2021-08-21,23.388
P4  (LAI=5.7),2021-08-22,21.473
P4  (LAI=5.7),2021-08-23,21.473
P4  (LAI=5.7),2021-08-24,24.158
P4  (LAI=5.7),2021-08-25,24.738
P4  (LAI=5.7),2021-08-26,20.805
P4  (LAI=5.7),2021-08-27,20.805
P4  (LAI=5.7),2021-08-28,20.901
P4  (LAI=5.7),2021-08-29,20.996
P4  (LAI=5.7),2021-08-30,21.282
P4  (LAI=5.7),2021-08-31,22.429
P4  (LAI=5.7),2021-09-01,24.062
P4  (LAI=5.7),2021-09-02,25.708
P4  (LAI=5.7),2021-09-03,25.902
P4  (LAI=5.7),2021-09-04,26.097
P4  (LAI=5.7),2021-09-05,27.862
P4  (LAI=5.7),2021-09-06,28.655
P4  (LAI=5.7),2021-09-07,29.552
P4  (LAI=5.7),2021-09-08,26.585
P4  (LAI=5.7),2021-09-09,23.292
P4  (LAI=5.7),2021-09-10,21.378
P4  (LAI=5.7),2021-09-11,20.043
P4  (LAI=5.7),2021-09-12,22.429
P4  (LAI=5.7),2021-09-13,24.835
P4  (LAI=5.7),2021-09-14,23.869
P4  (LAI=5.7),2021-09-15,21.473
P4  (LAI=5.7),2021-09-16,20.329
P4  (LAI=5.7),2021-09-17,21.473
P4  (LAI=5.7),2021-09-18,18.236
P4  (LAI=5.7),2021-09-19,16.999
P4  (LAI=5.7),2021-09-20,16.713
P4  (LAI=5.7),2021-09-21,16.237
P4  (LAI=5.7),2021-09-22,18.521
P4  (LAI=5.7),2021-09-23,20.234
P4  (LAI=5.7),2021-09-24,20.71
P4  (LAI=5.7),2021-09-25,19.092
P4  (LAI=5.7),2021-09-26,20.043
P4  (LAI=5.7),2021-09-27,17.95
P4  (LAI=5.7),2021-09-28,16.808
P4  (LAI=5.7),2021-09-29,16.903
P4  (LAI=5.7),2021-09-30,16.713
P2  (LAI=3.4),2021-06-01,28.357
P2  (LAI=3.4),2021-06-02,20.424
P2  (LAI=3.4),2021-06-03,26.585
P2  (LAI=3.4),2021-06-04,19.948
P2  (LAI=3.4),2021-06-05,20.424
P2  (LAI=3.4),2021-06-06,22.238
P2  (LAI=3.4),2021-06-07,24.738
P2  (LAI=3.4),2021-06-08,25.319
P2  (LAI=3.4),2021-06-09,26.879
P2  (LAI=3.4),2021-06-10,27.665
P2  (LAI=3.4),2021-06-11,26.585
P2  (LAI=3.4),2021-06-12,27.665
P2  (LAI=3.4),2021-06-13,26.977
P2  (LAI=3.4),2021-06-14,29.452
P2  (LAI=3.4),2021-06-15,29.252
P2  (LAI=3.4),2021-06-16,30.862
P2  (LAI=3.4),2021-06-17,23.869
P2  (LAI=3.4),2021-06-18,24.158
P2  (LAI=3.4),2021-06-19,25.319
P2  (LAI=3.4),2021-06-20,22.812
P2  (LAI=3.4),2021-06-21,23.484
P2  (LAI=3.4),2021-06-22,21.473
P2  (LAI=3.4),2021-06-23,17.189
P2  (LAI=3.4),2021-06-24,21.76
P2  (LAI=3.4),2021-06-25,21.378
P2  (LAI=3.4),2021-06-26,23.004
P2  (LAI=3.4),2021-06-27,19.948
P2  (LAI=3.4),2021-06-28,20.71
P2  (LAI=3.4),2021-06-29,20.138
P2  (LAI=3.4),2021-06-30,19.187
P2  (LAI=3.4),2021-07-01,24.448
P2  (LAI=3.4),2021-07-02,26
P2  (LAI=3.4),2021-07-03,22.142
P2  (LAI=3.4),2021-07-04,20.615
P2  (LAI=3.4),2021-07-05,21.664
P2  (LAI=3.4),2021-07-06,21.664
P2  (LAI=3.4),2021-07-07,22.429
P2  (LAI=3.4),2021-07-08,21.855
P2  (LAI=3.4),2021-07-09,22.238
P2  (LAI=3.4),2021-07-10,18.996
P2  (LAI=3.4),2021-07-11,22.046
P2  (LAI=3.4),2021-07-12,20.901
P2  (LAI=3.4),2021-07-13,17.475
P2  (LAI=3.4),2021-07-14,21.378
P2  (LAI=3.4),2021-07-15,23.773
P2  (LAI=3.4),2021-07-16,19.758
P2  (LAI=3.4),2021-07-17,22.621
P2  (LAI=3.4),2021-07-18,29.352
P2  (LAI=3.4),2021-07-19,30.154
P2  (LAI=3.4),2021-07-20,29.053
P2  (LAI=3.4),2021-07-21,29.152
P2  (LAI=3.4),2021-07-22,29.053
P2  (LAI=3.4),2021-07-23,29.552
P2  (LAI=3.4),2021-07-24,24.062
P2  (LAI=3.4),2021-07-25,23.004
P2  (LAI=3.4),2021-07-26,24.545
P2  (LAI=3.4),2021-07-27,19.092
P2  (LAI=3.4),2021-07-28,23.1
P2  (LAI=3.4),2021-07-29,23.388
P2  (LAI=3.4),2021-07-30,22.717
P2  (LAI=3.4),2021-07-31,21.378
P2  (LAI=3.4),2021-08-01,22.142
P2  (LAI=3.4),2021-08-02,21.378
P2  (LAI=3.4),2021-08-03,17.76
P2  (LAI=3.4),2021-08-04,18.521
P2  (LAI=3.4),2021-08-05,20.138
P2  (LAI=3.4),2021-08-06,20.519
P2  (LAI=3.4),2021-08-07,22.333
P2  (LAI=3.4),2021-08-08,22.142
P2  (LAI=3.4),2021-08-09,22.238
P2  (LAI=3.4),2021-08-10,26.195
P2  (LAI=3.4),2021-08-11,28.357
P2  (LAI=3.4),2021-08-12,30.255
P2  (LAI=3.4),2021-08-13,30.255
P2  (LAI=3.4),2021-08-14,31.064
P2  (LAI=3.4),2021-08-15,29.552
P2  (LAI=3.4),2021-08-16,22.812
P2  (LAI=3.4),2021-08-17,18.996
P2  (LAI=3.4),2021-08-18,21.473
P2  (LAI=3.4),2021-08-19,18.711
P2  (LAI=3.4),2021-08-20,24.062
P2  (LAI=3.4),2021-08-21,23.966
P2  (LAI=3.4),2021-08-22,21.951
P2  (LAI=3.4),2021-08-23,22.142
P2  (LAI=3.4),2021-08-24,24.931
P2  (LAI=3.4),2021-08-25,25.61
P2  (LAI=3.4),2021-08-26,21.569
P2  (LAI=3.4),2021-08-27,21.091
P2  (LAI=3.4),2021-08-28,21.951
P2  (LAI=3.4),2021-08-29,21.282
P2  (LAI=3.4),2021-08-30,21.76
P2  (LAI=3.4),2021-08-31,23.966
P2  (LAI=3.4),2021-09-01,25.708
P2  (LAI=3.4),2021-09-02,27.173
P2  (LAI=3.4),2021-09-03,27.764
P2  (LAI=3.4),2021-09-04,26.977
P2  (LAI=3.4),2021-09-05,29.053
P2  (LAI=3.4),2021-09-06,29.853
P2  (LAI=3.4),2021-09-07,30.76
P2  (LAI=3.4),2021-09-08,27.567
P2  (LAI=3.4),2021-09-09,24.351
P2  (LAI=3.4),2021-09-10,21.091
P2  (LAI=3.4),2021-09-11,21.282
P2  (LAI=3.4),2021-09-12,23.773
P2  (LAI=3.4),2021-09-13,26
P2  (LAI=3.4),2021-09-14,24.545
P2  (LAI=3.4),2021-09-15,22.429
P2  (LAI=3.4),2021-09-16,20.71
P2  (LAI=3.4),2021-09-17,22.621
P2  (LAI=3.4),2021-09-18,18.426
P2  (LAI=3.4),2021-09-19,17.475
P2  (LAI=3.4),2021-09-20,17.76
P2  (LAI=3.4),2021-09-21,17.475
P2  (LAI=3.4),2021-09-22,20.234
P2  (LAI=3.4),2021-09-23,21.951
P2  (LAI=3.4),2021-09-24,22.238
P2  (LAI=3.4),2021-09-25,19.758
P2  (LAI=3.4),2021-09-26,21.282
P2  (LAI=3.4),2021-09-27,18.996
P2  (LAI=3.4),2021-09-28,18.806
P2  (LAI=3.4),2021-09-29,18.521
P2  (LAI=3.4),2021-09-30,18.331
P1  (LAI=0.5),2021-06-01,34.479
P1  (LAI=0.5),2021-06-02,22.621
P1  (LAI=0.5),2021-06-03,33.222
P1  (LAI=0.5),2021-06-04,24.738
P1  (LAI=0.5),2021-06-05,29.352
P1  (LAI=0.5),2021-06-06,31.676
P1  (LAI=0.5),2021-06-07,30.659
P1  (LAI=0.5),2021-06-08,32.807
P1  (LAI=0.5),2021-06-09,35.864
P1  (LAI=0.5),2021-06-10,32.188
P1  (LAI=0.5),2021-06-11,35.115
P1  (LAI=0.5),2021-06-12,34.058
P1  (LAI=0.5),2021-06-13,35.222
P1  (LAI=0.5),2021-06-14,37.935
P1  (LAI=0.5),2021-06-15,36.728
P1  (LAI=0.5),2021-06-16,34.585
P1  (LAI=0.5),2021-06-17,27.37
P1  (LAI=0.5),2021-06-18,28.555
P1  (LAI=0.5),2021-06-19,28.853
P1  (LAI=0.5),2021-06-20,29.752
P1  (LAI=0.5),2021-06-21,28.357
P1  (LAI=0.5),2021-06-22,26.195
P1  (LAI=0.5),2021-06-23,20.71
P1  (LAI=0.5),2021-06-24,27.075
P1  (LAI=0.5),2021-06-25,26.195
P1  (LAI=0.5),2021-06-26,26.977
P1  (LAI=0.5),2021-06-27,21.664
P1  (LAI=0.5),2021-06-28,25.513
P1  (LAI=0.5),2021-06-29,24.448
P1  (LAI=0.5),2021-06-30,21.091
P1  (LAI=0.5),2021-07-01,30.054
P1  (LAI=0.5),2021-07-02,29.953
P1  (LAI=0.5),2021-07-03,25.805
P1  (LAI=0.5),2021-07-04,23.292
P1  (LAI=0.5),2021-07-05,23.388
P1  (LAI=0.5),2021-07-06,24.255
P1  (LAI=0.5),2021-07-07,26.292
P1  (LAI=0.5),2021-07-08,25.902
P1  (LAI=0.5),2021-07-09,26
P1  (LAI=0.5),2021-07-10,20.424
P1  (LAI=0.5),2021-07-11,24.835
P1  (LAI=0.5),2021-07-12,23.773
P1  (LAI=0.5),2021-07-13,18.806
P1  (LAI=0.5),2021-07-14,23.292
P1  (LAI=0.5),2021-07-15,25.61
P1  (LAI=0.5),2021-07-16,20.901
P1  (LAI=0.5),2021-07-17,27.075
P1  (LAI=0.5),2021-07-18,31.88
P1  (LAI=0.5),2021-07-19,31.778
P1  (LAI=0.5),2021-07-20,30.558
P1  (LAI=0.5),2021-07-21,30.659
P1  (LAI=0.5),2021-07-22,30.862
P1  (LAI=0.5),2021-07-23,31.37
P1  (LAI=0.5),2021-07-24,27.764
P1  (LAI=0.5),2021-07-25,24.351
P1  (LAI=0.5),2021-07-26,25.61
P1  (LAI=0.5),2021-07-27,20.234
P1  (LAI=0.5),2021-07-28,26.097
P1  (LAI=0.5),2021-07-29,26.195
P1  (LAI=0.5),2021-07-30,24.738
P1  (LAI=0.5),2021-07-31,23.292
P1  (LAI=0.5),2021-08-01,27.272
P1  (LAI=0.5),2021-08-02,23.196
P1  (LAI=0.5),2021-08-03,19.282
P1  (LAI=0.5),2021-08-04,19.282
P1  (LAI=0.5),2021-08-05,22.525
P1  (LAI=0.5),2021-08-06,23.196
P1  (LAI=0.5),2021-08-07,24.641
P1  (LAI=0.5),2021-08-08,25.028
P1  (LAI=0.5),2021-08-09,25.416
P1  (LAI=0.5),2021-08-10,30.862
P1  (LAI=0.5),2021-08-11,33.639
P1  (LAI=0.5),2021-08-12,33.848
P1  (LAI=0.5),2021-08-13,34.903
P1  (LAI=0.5),2021-08-14,36.728
P1  (LAI=0.5),2021-08-15,33.953
P1  (LAI=0.5),2021-08-16,26.977
P1  (LAI=0.5),2021-08-17,21.378
P1  (LAI=0.5),2021-08-18,25.416
P1  (LAI=0.5),2021-08-19,20.615
P1  (LAI=0.5),2021-08-20,30.154
P1  (LAI=0.5),2021-08-21,27.567
P1  (LAI=0.5),2021-08-22,24.641
P1  (LAI=0.5),2021-08-23,25.319
P1  (LAI=0.5),2021-08-24,28.853
P1  (LAI=0.5),2021-08-25,30.154
P1  (LAI=0.5),2021-08-26,26.879
P1  (LAI=0.5),2021-08-27,25.513
P1  (LAI=0.5),2021-08-28,25.61
P1  (LAI=0.5),2021-08-29,26
P1  (LAI=0.5),2021-08-30,25.222
P1  (LAI=0.5),2021-08-31,28.159
P1  (LAI=0.5),2021-09-01,29.552
P1  (LAI=0.5),2021-09-02,32.188
P1  (LAI=0.5),2021-09-03,33.43
P1  (LAI=0.5),2021-09-04,32.394
P1  (LAI=0.5),2021-09-05,35.115
P1  (LAI=0.5),2021-09-06,35.435
P1  (LAI=0.5),2021-09-07,36.403
P1  (LAI=0.5),2021-09-08,32.704
P1  (LAI=0.5),2021-09-09,27.567
P1  (LAI=0.5),2021-09-10,23.196
P1  (LAI=0.5),2021-09-11,24.351
P1  (LAI=0.5),2021-09-12,28.06
P1  (LAI=0.5),2021-09-13,30.356
P1  (LAI=0.5),2021-09-14,27.075
P1  (LAI=0.5),2021-09-15,24.641
P1  (LAI=0.5),2021-09-16,24.448
P1  (LAI=0.5),2021-09-17,26.977
P1  (LAI=0.5),2021-09-18,19.662
P1  (LAI=0.5),2021-09-19,17.95
P1  (LAI=0.5),2021-09-20,19.187
P1  (LAI=0.5),2021-09-21,21.091
P1  (LAI=0.5),2021-09-22,23.966
P1  (LAI=0.5),2021-09-23,26
P1  (LAI=0.5),2021-09-24,26.292
P1  (LAI=0.5),2021-09-25,21.378
P1  (LAI=0.5),2021-09-26,24.641
P1  (LAI=0.5),2021-09-27,20.424
P1  (LAI=0.5),2021-09-28,20.138
P1  (LAI=0.5),2021-09-29,22.621
P1  (LAI=0.5),2021-09-30,21.569
P3  (LAI=4.7),2021-06-01,28.555
P3  (LAI=4.7),2021-06-02,19.853
P3  (LAI=4.7),2021-06-03,25.513
P3  (LAI=4.7),2021-06-04,18.901
P3  (LAI=4.7),2021-06-05,19.758
P3  (LAI=4.7),2021-06-06,21.76
P3  (LAI=4.7),2021-06-07,24.255
P3  (LAI=4.7),2021-06-08,25.125
P3  (LAI=4.7),2021-06-09,26.585
P3  (LAI=4.7),2021-06-10,27.37
P3  (LAI=4.7),2021-06-11,26.683
P3  (LAI=4.7),2021-06-12,26.585
P3  (LAI=4.7),2021-06-13,26.195
P3  (LAI=4.7),2021-06-14,28.456
P3  (LAI=4.7),2021-06-15,28.357
P3  (LAI=4.7),2021-06-16,30.558
P3  (LAI=4.7),2021-06-17,22.717
P3  (LAI=4.7),2021-06-18,23.1
P3  (LAI=4.7),2021-06-19,24.158
P3  (LAI=4.7),2021-06-20,22.717
P3  (LAI=4.7),2021-06-21,23.1
P3  (LAI=4.7),2021-06-22,20.996
P3  (LAI=4.7),2021-06-23,16.618
P3  (LAI=4.7),2021-06-24,20.901
P3  (LAI=4.7),2021-06-25,20.519
P3  (LAI=4.7),2021-06-26,21.473
P3  (LAI=4.7),2021-06-27,18.996
P3  (LAI=4.7),2021-06-28,20.234
P3  (LAI=4.7),2021-06-29,18.901
P3  (LAI=4.7),2021-06-30,18.521
P3  (LAI=4.7),2021-07-01,23.388
