P,version,period,tod,dTair,dWind,dRH,dVPD
P1,v3.2.0,JJAS,day,2.94980992384944,-1.60356837175176,-2.35772444125993,0.350900178416097
P1,v3.2.0,JJAS,night,0.401586480479409,-1.27575316343233,0.0122340474292173,0.00700344261406466
P1,v3.2.0,JJAS,global,1.30151285890673,-1.38126793457704,-0.617646669679729,0.0730201782461013
P1,v3.2.0,hot10,day,3.51190029046472,-1.5762565334638,-0.512363778784788,0.636574876067898
P1,v3.2.0,hot10,night,0.189609625400635,-1.31770969889103,1.53908621126894,-0.0264875692740674
P1,v3.2.0,hot10,global,1.24023574437848,-1.38617517245122,1.69045457834803,0.0506627759673466
P1,v3.2.3 iter,JJAS,day,0.144863024435381,-1.39423727443635,-0.014064720216723,0.0125782747311283
P1,v3.2.3 iter,JJAS,night,0.00130550196911372,-1.11371480001778,0.0809247323653892,-0.00140518179777177
P1,v3.2.3 iter,JJAS,global,0.0498714447021484,-1.20389671318864,0.067546035245897,0.000654092080974111
P1,v3.2.3 iter,hot10,day,0.180230556390256,-1.37038898773682,0.03341076228498,0.0270913448110695
P1,v3.2.3 iter,hot10,night,-0.0052967560596926,-1.15151291856399,0.119656469900946,-0.00269050478516664
P1,v3.2.3 iter,hot10,global,0.0445875510191627,-1.20955570983008,0.175798156879445,-0.00160133860862688
P2,v3.2.0,JJAS,day,0.117624751857079,-2.08208808036206,2.52221011551517,-0.0637676945307644
P2,v3.2.0,JJAS,night,0.296796121232489,-1.66981351062085,0.284390542240132,0.00031710121086348
P2,v3.2.0,JJAS,global,0.0761735217818682,-1.80203600759017,2.21270260201845,-0.0458953550913791
P2,v3.2.0,hot10,day,0.327229035206358,-2.04251315196355,1.32318645113968,-0.00662472014429349
P2,v3.2.0,hot10,night,0.271499633789063,-1.72553281447826,0.659042622203955,-0.00502855233997313
P2,v3.2.0,hot10,global,-0.0100976992875985,-1.80971591145946,2.42152857515283,-0.073209562127609
P2,v3.2.3 iter,JJAS,day,0.171597506830608,-3.3467858696733,2.48064556949059,-0.0582977800630422
P2,v3.2.3 iter,JJAS,night,0.678233412445593,-2.67966106352829,-0.0217844112045213,0.012898169715485
P2,v3.2.3 iter,JJAS,global,0.281998087148168,-2.89359506903486,2.04373506086557,-0.0337343337669953
P2,v3.2.3 iter,hot10,day,0.450171837439939,-3.28671908053832,1.31674098474591,0.0129275121917249
P2,v3.2.3 iter,hot10,night,0.66027284279852,-2.76992446298783,0.935772775396899,0.00175473630733314
P2,v3.2.3 iter,hot10,global,0.185964731069703,-2.90660589846233,2.44561276737034,-0.0585601376746925
P3,v3.2.0,JJAS,day,-0.194270983419756,-2.00671437782709,2.88705394916486,-0.0989155118436902
P3,v3.2.0,JJAS,night,0.324591881590436,-1.61037322266099,0.143157316650459,0.00336400412829174
P3,v3.2.0,JJAS,global,-0.0424926945420907,-1.73734958495568,2.36900443830298,-0.0541385205173947
P3,v3.2.0,hot10,day,-0.0922319461137704,-1.96729613420291,1.59452120008655,-0.0831772206215038
P3,v3.2.0,hot10,night,0.344680394881834,-1.66371835882847,0.362958832560011,0.00373937690946991
P3,v3.2.0,hot10,global,-0.154983911758791,-1.74473375105896,2.63776340694485,-0.0909035015139641
P3,v3.2.3 iter,JJAS,day,-0.182885592101059,-3.44322870287769,3.78103062443273,-0.1236687866161
P3,v3.2.3 iter,JJAS,night,0.871215653549768,-2.7568134192245,1.23795163283683,-0.0069862518654536
P3,v3.2.3 iter,JJAS,global,0.177986280514233,-2.97692178615975,3.49112759211253,-0.0703804486006666
P3,v3.2.3 iter,hot10,day,-0.0466582469451282,-3.38119988449109,2.41492822239196,-0.111772428525572
P3,v3.2.3 iter,hot10,night,0.802516839443115,-2.84944354847838,2.9885216119301,-0.0389629019654601
P3,v3.2.3 iter,hot10,global,-0.0428500053210428,-2.99004502318059,3.99688433639929,-0.122752442190291
P4,v3.2.0,JJAS,day,-0.355161739828816,-2.1231852323224,3.84564846779978,-0.138605234991741
P4,v3.2.0,JJAS,night,0.319373500803124,-1.70344771349121,0.176681783297269,0.00266345110641714
P4,v3.2.0,JJAS,global,-0.113407020360398,-1.83823479192657,2.95340668303479,-0.0698169614718939
P4,v3.2.0,hot10,day,-0.282822829026429,-2.08162430769358,2.20028120153474,-0.137899282415174
P4,v3.2.0,hot10,night,0.42923717009711,-1.75977524427267,-0.0664971329727848,0.0158446668740403
P4,v3.2.0,hot10,global,-0.177412375425661,-1.84624285618655,2.87529618572298,-0.0996539940759222
P4,v3.2.3 iter,JJAS,day,-0.35295588592362,-3.42298354221956,3.92645249107826,-0.140700189616001
P4,v3.2.3 iter,JJAS,night,0.565415804503402,-2.74069302625537,1.12299393127533,-0.0101859577961254
P4,v3.2.3 iter,JJAS,global,-0.049780340142604,-2.95947723940035,3.51821578204172,-0.0797637992765106
P4,v3.2.3 iter,hot10,day,-0.186569605118166,-3.36129833776981,2.10029608556808,-0.119286288076018
P4,v3.2.3 iter,hot10,night,0.49114207732373,-2.83280000300744,2.20107670859097,-0.0312862624080121
P4,v3.2.3 iter,hot10,global,-0.263763916798098,-2.97253692350709,3.71394325518706,-0.130917875088043
